job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry
"General Manager, UK",Headout,"London, England, United Kingdom",Be an early applicant,2023-04-17 00:00:00,Executive,Business Development and Sales,Full-time,Public Relations and Communications Services
"
            
        Civil Engineer
      
          ","
            Meinhardt Australia & New Zealand
          ","
            Brisbane, Queensland, Australia
          ","
         Actively Hiring
      ",2023-03-24 00:00:00,"
            Mid-Senior level
          ","
            Engineering, Consulting, and Design
          ","
          Full-time
        ","
          Construction, Civil Engineering, and Design Services
          "
"
            
        Software Developer
      
          ","
            Terralogic
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-13 00:00:00,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          "
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-24 00:00:00,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing
"
            
        Senior Data Scientist | Machine Learning
      
          ","
            Ramp
          ","
            New York, NY
          ","
         Actively Hiring
      ",2023-03-16 00:00:00,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          "
"
            
        Data Analytics - PAN India, Remote Opportunity
      
          ","
            PeopleDecode
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-21 00:00:00,"
            Associate
          ","
            Other
          ","
          Full-time
        ",
Apparel Graphic Designer/Illustrator,Viralstyle,"Tampa, FL",Be an early applicant,2023-04-03 00:00:00,Associate,"Consulting, Art/Creative, and Design",Contract,Advertising Services
Copywriter,INFUSEmedia,"Bucharest, Bucharest, Romania",Actively Hiring,2023-04-25 00:00:00,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet"
Content Writer,Vegam Solutions,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-23 00:00:00,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Information Technology & Services
"
            
        Content Writer
      
          ","
            eGov Foundation
          ","
            Bengaluru, Karnataka, India
          ",Be an early applicant,2023-02-16 00:00:00,"
            Associate
          ","
            Public Relations, Writing/Editing, and Marketing
          ","
          Full-time
        ","
          Software Development and Non-profit Organizations
          "
FT Virtual Assistant (Work From Home),Growth Cave,"Lafayette, IN",Be an early applicant,2023-04-08 00:00:00,Entry level,Administrative,Full-time,Advertising Services
Copywriter (Remote),INFUSEmedia,"Madrid, Community of Madrid, Spain",Be an early applicant,2023-02-25 00:00:00,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet"
"Analyst - Bioanalytical Lab Operations, 1st shift",Labcorp,"Indianapolis, IN",Be an early applicant,2023-04-01 00:00:00,Mid-Senior level,Management and Manufacturing,Full-time,Hospitals and Health Care
General Manager of Production,Riverside,"Great Parndon, England, United Kingdom",Be an early applicant,2023-03-31 00:00:00,Executive,Management and Manufacturing,Full-time,Medical Practices
"
            
        Web Designer:in / Grafiker:in 50%
      
          ","
            Kreativagentur Friedli
          ","
            Wohlenschwil, Aargau, Switzerland
          ","
         Be an early applicant
      ",2023-03-08 00:00:00,"
            Mid-Senior level
          ","
            Marketing
          ","
          Full-time
        ","
          Professional Services
          "
Full Stack Developer - Node.js / Java and React.js,Sugoi Labs,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-14 00:00:00,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting and Technology, Information and Internet"
Graphic Artist,Paramount Australia & New Zealand,"Pyrmont, New South Wales, Australia",Be an early applicant,2023-04-03 00:00:00,Full-time,,,
"
            
        Executive Assistant
      
          ","
            Alliants
          ","
            Southampton, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-22 00:00:00,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Hospitality
          "
Senior Full Stack Engineer (m/w/d),Exxeta,"Berlin, Berlin, Germany",Be an early applicant,2023-04-14 00:00:00,Mid-Senior level,Other,Full-time,IT Services and IT Consulting
"
            
        Brand Manager
      
          ","
            GlowUp
          ","
            Mumbai, Maharashtra, India
          ",Be an early applicant,2023-03-16 00:00:00,"
            Mid-Senior level
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Staffing and Recruiting
          "
"
            
        Executive Assistant
      
          ","
            Government of Jersey
          ","
            St. Helier, Jersey
          ","
         Be an early applicant
      ",2023-02-27 00:00:00,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Government Administration
          "
Commercial Administration Partner & Executive Assistant (EA),,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-25 00:00:00,Mid-Senior level,Administrative,Full-time,Staffing and Recruiting
Technical Writer (Remote),HTTPie,Czechia,Be an early applicant,2023-03-30 00:00:00,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Software Development
HR Business Partner & Manager (HRBP),Masons of California,"Covina, CA",Be an early applicant,2023-04-08 00:00:00,Mid-Senior level,Human Resources,Full-time,"Technology, Information and Internet"
Internship-HMI Firmware Engineer,,"Osaka, Osaka, Japan",Be an early applicant,2023-03-22 00:00:00,Internship,Engineering and Information Technology,Internship,"Appliances, Electrical, and Electronics Manufacturing"
