CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2022,2023,2024
13261,"Sumter, GA",1049532,967073,925490
13263,"Talbot, GA",151448,141975,240426
13265,"Taliaferro, GA",34136,30165,35439
13267,"Tattnall, GA",625441,606860,711377
13269,"Taylor, GA",206766,217104,212150
13271,"Telfair, GA",284280,302014,305501
13273,"Terrell, GA",226926,244314,235928
13275,"Thomas, GA",2339296,2354890,2391611
13277,"Tift, GA",2036974,2060106,2099592
13279,"Toombs, GA",1017922,1064662,1124907
13281,"Towns, GA",407627,417294,452394
13283,"Treutlen, GA",101099,100775,111018
13285,"Troup, GA",3910736,4032836,4203133
13287,"Turner, GA",197692,203984,206041
13289,"Twiggs, GA",254078,237436,239441
13291,"Union, GA",900030,917841,954557
13293,"Upson, GA",701216,699553,740315
13295,"Walker, GA",1665032,1641089,1724899
13297,"Walton, GA",2991885,3129435,3266676
13299,"Ware, GA",1385680,1393037,1426044
13301,"Warren, GA",155498,162938,208433
13303,"Washington, GA",694060,649080,648888
13305,"Wayne, GA",1080498,1135376,1255904
13307,"Webster, GA",57822,64064,59846
13309,"Wheeler, GA",111131,122813,121491
13311,"White, GA",970493,962534,1004816
13313,"Whitfield, GA",5994953,5869131,6171126
13315,"Wilcox, GA",150662,152292,166603
13317,"Wilkes, GA",346009,344587,381989
13319,"Wilkinson, GA",593518,513619,426739
13321,"Worth, GA",320008,320617,338102
15001,"Hawaii, HI",8668568,9042689,9431618
15003,"Honolulu, HI",64868194,66598994,68315829
15007,"Kauai, HI",4078528,4189437,4271283
15901,"Maui + Kalawao, HI*",9867206,9805235,9855200
16001,"Ada, ID",33350954,34093263,35731361
16003,"Adams, ID",137730,150396,158849
16005,"Bannock, ID",3182497,3309969,3410715
16007,"Bear Lake, ID",201521,219616,226303
16009,"Benewah, ID",378066,409234,422241
16011,"Bingham, ID",1702069,1822147,1712442
16013,"Blaine, ID",1850233,1898706,1937608
16015,"Boise, ID",176909,194399,215172
16017,"Bonner, ID",1872339,1931439,1956126
16019,"Bonneville, ID",6746630,6635305,6903459
16021,"Boundary, ID",425048,470240,496559
16023,"Butte, ID",1402792,1530385,1583598
16025,"Camas, ID",85397,87120,86270
16027,"Canyon, ID",8335057,8470575,8920206
16029,"Caribou, ID",815512,863233,857858
16031,"Cassia, ID",1544322,1588168,1989930
16033,"Clark, ID",48543,50066,46268
16035,"Clearwater, ID",388242,372765,362670
16037,"Custer, ID",172442,194562,197984
16039,"Elmore, ID",1299747,1377145,1484687
16041,"Franklin, ID",449666,478491,478281
16043,"Fremont (includes Yellowstone Park), ID",432354,454638,421489
